"project_id","project_name","milestone_name","milestone_description","milestone_status","milestone_start_date","milestone_completion_date","planned_start_date","planned_completion_date","document_id","document_name"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7303,"Afritech first payment"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7304,"Afritech first payment"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7305,"Afritech first payment"
11179,"Abon East Africa Ltd, 2017-3 ","In Transit","In Transit","Completed","2017-04-17 05:00:00","2017-06-10 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7306,"Receipt of Afritech goods"
11179,"Abon East Africa Ltd, 2017-3 ","In Transit","In Transit","Completed","2017-04-17 05:00:00","2017-06-10 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7307,"Receipt of Afritech goods"
11179,"Abon East Africa Ltd, 2017-3 ","In Transit","In Transit","Completed","2017-04-17 05:00:00","2017-06-10 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7308,"Receipt of Afritech goods"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7309,"Delivery of goods to site"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7310,"Delivery of goods to site"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7311,"Delivery of goods to site"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7393,"Receipt of Afritech goods by Frank and Payor"
11179,"Abon East Africa Ltd, 2017-3 ","In Transit","In Transit","Completed","2017-04-17 05:00:00","2017-06-10 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7394,"Receipt of Afritech goods"
